id,name,class,mark,gender
1,John Deo,Four,75,female
2,Max Ruin,Three,85,male
3,Arnold,Three,55,male
4,Krish Star,Four,60,female
5,John Mike,Four,60,female
,Mark,Five,,Male
6,Alex John,Four,55,male
20,,,12,female
7,My John Rob,Fifth,78,male
21,Anto,,12,male
8,Asruid,Five,85,male
9,Tes Qry,Six,78,male
10,Big John,Four,55,female
11,Ronald,Six,89,female
12,Recky,Six,94,female
13,Kty,Seven,88,female
14,Bigy,Seven,88,female
15,Tade Row,Four,88,male
16,Gimmy,Four,88,male
17,Tumyu,Six,54,male
18,Honny,Five,75,male
19,Tinny,Nine,18,male
